Player;Nation;Pos;Squad;Comp;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls_90;Ast_90;G+A_90;G-PK_90;G+A-PK_90;xG_90;xAG_90;xG+xAG_90;npxG_90;npxG+xAG_90
Oussama El Azzouzi;ma MAR;MF;Bologna;it Serie A;23;2001;2;0;19;0.2;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;4;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Papa Ba;es ESP;MF;Girona;es La Liga;19;2004;1;0;48;0.5;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;1;0;2;0.00;0.00;0.00;0.00;0.00;0.06;0.00;0.06;0.06;0.06
Shavy Babicka;ga GAB;MF,FW;Toulouse;fr Ligue 1;24;2000;30;11;1186;13.2;4;2;6;4;0;0;2;0;3.9;3.9;1.6;5.5;36;21;122;0.30;0.15;0.46;0.30;0.46;0.30;0.12;0.42;0.30;0.42
Jacopo Bacci;it ITA;MF;Empoli;it Serie A;19;2005;3;0;31;0.3;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Aliou Badara Baldé;gn GUI;MF,FW;Bochum;de Bundesliga;21;2002;5;0;91;1.0;0;0;0;0;0;0;1;0;0.2;0.2;0.2;0.4;2;1;5;0.00;0.00;0.00;0.00;0.00;0.18;0.17;0.35;0.18;0.35
Loïc Bade;fr FRA;DF;Sevilla;es La Liga;24;2000;32;31;2686;29.8;1;1;2;1;0;0;7;1;0.6;0.6;0.7;1.3;11;62;6;0.03;0.03;0.07;0.03;0.07;0.02;0.02;0.04;0.02;0.04
Milan Badelj;hr CRO;MF;Genoa;it Serie A;35;1989;23;21;1472;16.4;1;0;1;1;0;0;2;0;1.0;1.0;1.1;2.1;8;83;14;0.06;0.00;0.06;0.06;0.06;0.06;0.07;0.13;0.06;0.13
Benoît Badiashile;fr FRA;DF;Chelsea;eng Premier League;23;2001;5;3;334;3.7;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;3;17;2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Alex Baena;es ESP;MF,FW;Villarreal;es La Liga;23;2001;32;30;2595;28.8;7;9;16;7;0;1;9;0;7.1;6.3;11.7;18.1;91;189;154;0.24;0.31;0.55;0.24;0.55;0.25;0.41;0.65;0.22;0.63
Juma Bah;sl SLE;DF;Valladolid;es La Liga;18;2006;12;10;864;9.6;0;0;0;0;0;0;1;0;0.3;0.3;0.0;0.3;0;13;1;0.00;0.00;0.00;0.00;0.00;0.03;0.00;0.03;0.03;0.03
Juma Bah;sl SLE;DF;Lens;fr Ligue 1;18;2006;10;8;686;7.6;0;0;0;0;0;0;2;0;0.1;0.1;0.2;0.3;3;9;1;0.00;0.00;0.00;0.00;0.00;0.01;0.02;0.03;0.01;0.03
Leon Bailey;jm JAM;FW,MF;Aston Villa;eng Premier League;26;1997;24;14;1139;12.7;1;2;3;1;0;0;3;0;1.7;1.7;1.5;3.3;58;35;121;0.08;0.16;0.24;0.08;0.24;0.14;0.12;0.26;0.14;0.26
Eric Bailly;ci CIV;DF;Villarreal;es La Liga;30;1994;12;8;617;6.9;0;0;0;0;0;0;2;1;0.3;0.3;0.0;0.3;1;18;0;0.00;0.00;0.00;0.00;0.00;0.05;0.00;0.05;0.05;0.05
Theo Bair;ca CAN;FW;Auxerre;fr Ligue 1;24;1999;29;11;939;10.4;2;1;3;2;0;0;1;0;3.0;3.0;1.2;4.2;15;16;42;0.19;0.10;0.29;0.19;0.29;0.29;0.11;0.40;0.29;0.40
Stefan Bajcetic;es ESP;MF,DF;Las Palmas;es La Liga;19;2004;14;12;969;10.8;1;0;1;1;0;0;4;0;0.3;0.3;0.2;0.5;8;39;9;0.09;0.00;0.09;0.09;0.09;0.03;0.02;0.05;0.03;0.05
Cédric Bakambu;cd COD;FW;Betis;es La Liga;33;1991;25;6;710;7.9;2;2;4;2;0;0;4;0;3.2;3.2;0.6;3.7;9;14;43;0.25;0.25;0.51;0.25;0.51;0.40;0.07;0.47;0.40;0.47
Mitchel Bakker;nl NED;MF;Atalanta;it Serie A;24;2000;1;0;22;0.2;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;1;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Mitchel Bakker;nl NED;FW,DF;Lille;fr Ligue 1;24;2000;24;14;1139;12.7;3;2;5;3;0;0;3;1;3.0;3.0;2.7;5.6;43;57;120;0.24;0.16;0.40;0.24;0.40;0.23;0.21;0.44;0.23;0.44
Darryl Bakola;fr FRA;DF,MF;Marseille;fr Ligue 1;16;2007;2;0;14;0.2;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Ridle Baku;de GER;FW,MF;Wolfsburg;de Bundesliga;26;1998;15;14;1170;13.0;2;1;3;2;0;0;2;0;1.5;1.5;1.3;2.7;16;44;78;0.15;0.08;0.23;0.15;0.23;0.11;0.10;0.21;0.11;0.21
Ridle Baku;de GER;DF,MF;RB Leipzig;de Bundesliga;26;1998;19;15;1275;14.2;2;3;5;2;0;0;1;0;1.4;1.4;1.5;2.9;21;41;97;0.14;0.21;0.35;0.14;0.35;0.10;0.11;0.20;0.10;0.20
Dilane Bakwa;fr FRA;MF,DF;Strasbourg;fr Ligue 1;21;2002;30;29;2497;27.7;6;8;14;6;0;0;4;0;4.7;4.7;6.6;11.3;107;129;249;0.22;0.29;0.50;0.22;0.50;0.17;0.24;0.41;0.17;0.41
Tommaso Baldanzi;it ITA;MF,FW;Roma;it Serie A;21;2003;31;5;832;9.2;1;1;2;1;0;0;2;0;1.4;1.4;1.0;2.4;39;23;57;0.11;0.11;0.22;0.11;0.22;0.16;0.10;0.26;0.16;0.26
Alejandro Balde;es ESP;DF;Barcelona;es La Liga;20;2003;32;26;2284;25.4;0;4;4;0;0;0;2;0;0.5;0.5;3.4;3.9;107;93;246;0.00;0.16;0.16;0.00;0.16;0.02;0.13;0.15;0.02;0.15
