Player;Nation;Pos;Squad;Comp;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls_90;Ast_90;G+A_90;G-PK_90;G+A-PK_90;xG_90;xAG_90;xG+xAG_90;npxG_90;npxG+xAG_90
Diogo Leite;pt POR;DF;Union Berlin;de Bundesliga;25;1999;30;29;2546;28.3;1;2;3;1;0;0;3;0;1.4;1.4;1.0;2.4;20;116;16;0.04;0.07;0.11;0.04;0.11;0.05;0.04;0.08;0.05;0.08
Maxim Leitsch;de GER;DF;Mainz 05;de Bundesliga;26;1998;14;6;674;7.5;1;0;1;1;0;0;2;0;1.2;1.2;0.2;1.4;4;25;5;0.13;0.00;0.13;0.13;0.13;0.16;0.03;0.19;0.16;0.19
Florian Lejeune;fr FRA;DF;Rayo Vallecano;es La Liga;33;1991;37;37;3325;36.9;2;3;5;2;0;0;8;0;3.6;3.6;1.9;5.4;21;143;5;0.05;0.08;0.14;0.05;0.14;0.10;0.05;0.15;0.10;0.15
Stefan Lekovic;rs SRB;DF;Monza;it Serie A;20;2004;7;3;367;4.1;0;0;0;0;0;0;0;0;0.1;0.1;0.0;0.1;4;15;2;0.00;0.00;0.00;0.00;0.00;0.03;0.00;0.03;0.03;0.03
Iñigo Lekue;es ESP;DF;Athletic Club;es La Liga;31;1993;16;8;773;8.6;0;0;0;0;0;0;1;0;0.2;0.2;0.5;0.7;13;35;21;0.00;0.00;0.00;0.00;0.00;0.02;0.06;0.08;0.02;0.08
Nunzio Lella;it ITA;MF;Venezia;it Serie A;24;2000;1;0;5;0.1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Thomas Lemar;fr FRA;MF;Atlético Madrid;es La Liga;28;1995;5;0;85;0.9;0;0;0;0;0;0;0;0;0.3;0.3;0.2;0.5;1;8;4;0.00;0.00;0.00;0.00;0.00;0.30;0.20;0.50;0.30;0.50
Félix Lemaréchal;fr FRA;MF,FW;Strasbourg;fr Ligue 1;20;2003;27;20;1779;19.8;4;3;7;4;0;0;2;0;3.5;3.5;2.9;6.4;35;58;90;0.20;0.15;0.35;0.20;0.35;0.18;0.15;0.32;0.18;0.32
Mario Lemina;ga GAB;MF,DF;Wolves;eng Premier League;30;1993;17;15;1364;15.2;1;3;4;1;0;0;4;0;1.4;1.4;1.1;2.5;8;48;21;0.07;0.20;0.26;0.07;0.26;0.09;0.07;0.17;0.09;0.17
Clément Lenglet;fr FRA;DF;Atlético Madrid;es La Liga;29;1995;23;23;1972;21.9;2;1;3;2;0;0;9;0;2.4;2.4;1.1;3.5;16;79;1;0.09;0.05;0.14;0.09;0.14;0.11;0.05;0.16;0.11;0.16
Bernd Leno;de GER;GK;Fulham;eng Premier League;32;1992;38;38;3420;38.0;0;1;1;0;0;0;5;0;0.0;0.0;0.1;0.1;0;0;0;0.00;0.03;0.03;0.00;0.03;0.00;0.00;0.00;0.00;0.00
Donovan Léon;gf GUF;GK;Auxerre;fr Ligue 1;31;1992;32;32;2880;32.0;0;2;2;0;0;0;4;0;0.0;0.0;0.4;0.4;0;1;0;0.00;0.06;0.06;0.00;0.06;0.00;0.01;0.01;0.00;0.01
Giovanni Leoni;it ITA;DF;Parma;it Serie A;17;2006;17;14;1199;13.3;1;0;1;1;0;0;3;1;0.1;0.1;0.0;0.1;0;21;5;0.08;0.00;0.08;0.08;0.08;0.01;0.00;0.01;0.01;0.01
Esteban Lepaul;fr FRA;FW;Angers;fr Ligue 1;24;2000;28;18;1629;18.1;9;0;9;9;0;0;2;0;5.1;5.1;0.8;6.0;26;20;68;0.50;0.00;0.50;0.50;0.50;0.28;0.05;0.33;0.28;0.33
Johann Lepenant;fr FRA;MF;Nantes;fr Ligue 1;21;2002;29;23;2048;22.8;2;1;3;2;0;0;3;0;1.4;1.4;0.9;2.3;25;89;62;0.09;0.04;0.13;0.09;0.13;0.06;0.04;0.10;0.06;0.10
Jefferson Lerma;co COL;MF,DF;Crystal Palace;eng Premier League;29;1994;33;26;2274;25.3;0;1;1;0;0;0;9;0;1.1;1.1;1.5;2.6;12;97;26;0.00;0.04;0.04;0.00;0.04;0.04;0.06;0.10;0.04;0.10
Louis Leroux;fr FRA;MF,DF;Nantes;fr Ligue 1;18;2006;16;8;816;9.1;2;1;3;2;0;0;1;0;1.5;1.5;1.3;2.8;11;31;14;0.22;0.11;0.33;0.22;0.33;0.16;0.15;0.31;0.16;0.31
Robert Lewandowski;pl POL;FW;Barcelona;es La Liga;35;1988;34;32;2667;29.6;27;2;29;24;3;4;1;0;27.1;24.0;2.3;26.3;27;48;164;0.91;0.07;0.98;0.81;0.88;0.92;0.08;0.99;0.81;0.89
Jamie Leweling;de GER;MF,FW;Stuttgart;de Bundesliga;23;2001;27;22;1663;18.5;2;2;4;2;0;0;4;0;1.6;1.6;3.8;5.4;55;51;164;0.11;0.11;0.22;0.11;0.22;0.08;0.21;0.29;0.08;0.29
Rico Lewis;eng ENG;DF,MF;Manchester City;eng Premier League;19;2004;28;21;1893;21.0;1;2;3;1;0;0;5;1;1.4;1.4;0.3;1.7;39;107;78;0.05;0.10;0.14;0.05;0.14;0.07;0.02;0.08;0.07;0.08
Keane Lewis-Potter;eng ENG;DF,FW;Brentford;eng Premier League;23;2001;38;36;3093;34.4;1;3;4;1;0;0;7;0;3.1;3.1;3.2;6.3;98;98;156;0.03;0.09;0.12;0.03;0.12;0.09;0.09;0.18;0.09;0.18
Myles Lewis-Skelly;eng ENG;DF;Arsenal;eng Premier League;17;2006;23;15;1369;15.2;1;0;1;1;0;0;3;2;0.2;0.2;0.4;0.6;37;71;37;0.07;0.00;0.07;0.07;0.07;0.01;0.03;0.04;0.01;0.04
Ben Lhassine Kone;ci CIV;MF;Como;it Serie A;24;2000;4;0;51;0.6;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;0;3;1;0.00;0.00;0.00;0.00;0.00;0.03;0.00;0.03;0.03;0.03
Mattia Liberali;it ITA;MF;Milan;it Serie A;17;2007;1;1;61;0.7;0;0;0;0;0;0;0;0;0.1;0.1;0.0;0.1;1;5;4;0.00;0.00;0.00;0.00;0.00;0.10;0.03;0.14;0.10;0.14
Philipp Lienhart;at AUT;DF;Freiburg;de Bundesliga;28;1996;32;31;2770;30.8;1;0;1;1;0;0;5;0;0.5;0.5;0.8;1.2;44;138;9;0.03;0.00;0.03;0.03;0.03;0.02;0.02;0.04;0.02;0.04
Matthijs de Ligt;nl NED;DF;Manchester Utd;eng Premier League;24;1999;29;25;2123;23.6;2;0;2;2;0;0;3;0;2.5;2.5;0.3;2.8;7;55;6;0.08;0.00;0.08;0.08;0.08;0.10;0.01;0.12;0.10;0.12
Pedro Lima;br BRA;DF;Wolves;eng Premier League;18;2006;3;1;70;0.8;0;0;0;0;0;0;0;0;0.1;0.1;0.1;0.1;4;4;11;0.00;0.00;0.00;0.00;0.00;0.07;0.09;0.16;0.07;0.16
Victor Lindelöf;se SWE;DF;Manchester Utd;eng Premier League;30;1994;16;6;704;7.8;0;0;0;0;0;0;1;0;0.0;0.0;0.1;0.1;5;26;4;0.00;0.00;0.00;0.00;0.00;0.00;0.01;0.01;0.00;0.01
Jesper Lindstrøm;dk DEN;FW;Everton;eng Premier League;24;2000;25;15;1239;13.8;0;1;1;0;0;0;2;0;2.1;2.1;2.0;4.1;30;25;81;0.00;0.07;0.07;0.00;0.07;0.15;0.15;0.30;0.15;0.30
Karol Linetty;pl POL;MF;Torino;it Serie A;29;1995;28;18;1540;17.1;1;0;1;1;0;0;6;0;1.1;1.1;0.9;2.0;18;47;19;0.06;0.00;0.06;0.06;0.06;0.06;0.06;0.12;0.06;0.12
Samuel Lino;br BRA;MF,DF;Atlético Madrid;es La Liga;24;1999;31;21;1552;17.2;3;4;7;3;0;0;3;0;6.0;6.0;2.9;8.9;72;73;179;0.17;0.23;0.41;0.17;0.41;0.35;0.17;0.52;0.35;0.52
Pol Lirola;es ESP;DF;Marseille;fr Ligue 1;26;1997;19;5;680;7.6;1;2;3;1;0;0;1;1;0.6;0.6;0.7;1.3;12;21;40;0.13;0.26;0.40;0.13;0.40;0.08;0.09;0.17;0.08;0.17
Dailon Livramento;cv CPV;FW,MF;Hellas Verona;it Serie A;23;2001;29;8;940;10.4;1;1;2;1;0;0;2;1;1.8;1.8;0.9;2.7;23;13;67;0.10;0.10;0.19;0.10;0.19;0.17;0.09;0.26;0.17;0.26
Valentino Livramento;eng ENG;DF;Newcastle Utd;eng Premier League;21;2002;37;32;2840;31.6;0;1;1;0;0;0;1;0;0.3;0.3;2.6;2.9;83;158;119;0.00;0.03;0.03;0.00;0.03;0.01;0.08;0.09;0.01;0.09
Marin Ljubicic;hr CRO;FW,MF;Union Berlin;de Bundesliga;22;2002;13;1;281;3.1;1;1;2;1;0;0;1;0;0.4;0.4;0.6;1.1;1;6;19;0.32;0.32;0.64;0.32;0.64;0.14;0.20;0.34;0.14;0.34
Javier Llabrés;es ESP;FW;Mallorca;es La Liga;21;2002;1;1;57;0.6;0;0;0;0;0;0;0;0;0.0;0.0;0.1;0.1;3;3;8;0.00;0.00;0.00;0.00;0.00;0.08;0.14;0.21;0.08;0.21
Diego Llorente;es ESP;DF;Betis;es La Liga;30;1993;30;29;2519;28.0;2;0;2;2;0;0;4;0;1.5;1.5;0.3;1.8;7;81;3;0.07;0.00;0.07;0.07;0.07;0.05;0.01;0.06;0.05;0.06
Marcos Llorente;es ESP;DF,MF;Atlético Madrid;es La Liga;29;1995;33;28;2513;27.9;2;4;6;2;0;0;0;1;0.8;0.8;4.3;5.1;82;111;151;0.07;0.14;0.21;0.07;0.21;0.03;0.16;0.18;0.03;0.18
Gautier Lloris;fr FRA;DF;Le Havre;fr Ligue 1;29;1995;31;31;2768;30.8;2;1;3;2;0;0;5;0;1.2;1.2;0.9;2.0;13;99;7;0.07;0.03;0.10;0.07;0.10;0.04;0.03;0.07;0.04;0.07
Giovani Lo Celso;ar ARG;MF,FW;Betis;es La Liga;28;1996;25;15;1457;16.2;8;3;11;6;2;3;4;0;4.8;2.4;4.9;7.3;26;132;66;0.49;0.19;0.68;0.37;0.56;0.29;0.30;0.59;0.15;0.45
Stanislav Lobotka;sk SVK;MF;Napoli;it Serie A;29;1994;32;31;2636;29.3;0;1;1;0;0;0;3;0;0.3;0.3;1.2;1.5;30;118;32;0.00;0.03;0.03;0.00;0.03;0.01;0.04;0.05;0.01;0.05
Manuel Locatelli;it ITA;MF;Juventus;it Serie A;26;1998;36;34;2822;31.4;2;2;4;1;1;1;9;0;1.8;1.0;2.5;3.5;33;294;33;0.06;0.06;0.13;0.03;0.10;0.06;0.08;0.14;0.03;0.11
Bradley Locko;fr FRA;DF;Brest;fr Ligue 1;22;2002;2;1;97;1.1;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;1;2;2;0.00;0.00;0.00;0.00;0.00;0.02;0.00;0.02;0.02;0.02
Ruben Loftus-Cheek;eng ENG;MF;Milan;it Serie A;28;1996;19;10;1037;11.5;0;0;0;0;0;0;3;0;0.7;0.7;1.9;2.6;27;51;32;0.00;0.00;0.00;0.00;0.00;0.06;0.16;0.22;0.06;0.22
Elysée Logbo;fr FRA;FW;Le Havre;fr Ligue 1;20;2004;1;0;27;0.3;0;0;0;0;0;0;0;0;0.2;0.2;0.0;0.2;0;0;2;0.00;0.00;0.00;0.00;0.00;0.61;0.00;0.61;0.61;0.61
Enzo Loiodice;fr FRA;MF;Las Palmas;es La Liga;23;2000;17;7;684;7.6;0;0;0;0;0;0;3;0;0.3;0.3;0.2;0.4;3;31;3;0.00;0.00;0.00;0.00;0.00;0.04;0.02;0.06;0.04;0.06
Sean Longstaff;eng ENG;MF;Newcastle Utd;eng Premier League;26;1997;25;8;798;8.9;0;0;0;0;0;0;2;0;0.6;0.6;0.2;0.8;4;40;22;0.00;0.00;0.00;0.00;0.00;0.07;0.02;0.09;0.07;0.09
Ademola Lookman;ng NGA;MF,FW;Atalanta;it Serie A;26;1997;31;28;2247;25.0;15;5;20;14;1;1;4;0;10.3;9.5;7.1;16.7;142;73;316;0.60;0.20;0.80;0.56;0.76;0.41;0.29;0.70;0.38;0.67
Anthony Lopes;pt POR;GK;Nantes;fr Ligue 1;33;1990;18;18;1563;17.4;0;0;0;0;0;0;2;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
David López;es ESP;DF;Mallorca;es La Liga;21;2003;2;2;169;1.9;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;4;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
David López;es ESP;DF;Girona;es La Liga;34;1989;29;27;2429;27.0;1;1;2;1;0;0;4;0;0.9;0.9;0.6;1.5;17;132;7;0.04;0.04;0.07;0.04;0.07;0.03;0.02;0.06;0.03;0.06
Diego López;es ESP;MF,FW;Valencia;es La Liga;22;2002;38;35;2737;30.4;8;5;13;8;0;0;3;0;6.6;6.6;5.0;11.6;76;85;219;0.26;0.16;0.43;0.26;0.43;0.22;0.17;0.38;0.22;0.38
Fer López;;FW,MF;Celta Vigo;es La Liga;;;17;7;671;7.5;2;0;2;2;0;0;2;0;2.7;2.7;1.9;4.6;27;43;58;0.27;0.00;0.27;0.27;0.27;0.37;0.25;0.62;0.37;0.62
Fermin López;es ESP;MF,FW;Barcelona;es La Liga;21;2003;28;12;1252;13.9;6;5;11;6;0;0;4;1;5.6;5.6;3.9;9.5;31;79;108;0.43;0.36;0.79;0.43;0.79;0.41;0.28;0.69;0.41;0.69
Javi López;es ESP;DF;Real Sociedad;es La Liga;22;2002;29;21;1936;21.5;0;0;0;0;0;0;4;0;0.1;0.1;0.4;0.5;36;73;64;0.00;0.00;0.00;0.00;0.00;0.01;0.02;0.03;0.01;0.03
Pau López;es ESP;GK;Girona;es La Liga;29;1994;1;0;45;0.5;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Roberto López;es ESP;MF;Leganés;es La Liga;24;2000;13;3;396;4.4;0;1;1;0;0;0;0;0;0.5;0.5;0.9;1.4;3;20;11;0.00;0.23;0.23;0.00;0.23;0.11;0.20;0.31;0.11;0.31
Unai López;es ESP;MF;Rayo Vallecano;es La Liga;28;1995;32;23;1707;19.0;3;1;4;3;0;0;9;1;1.6;1.6;1.0;2.6;22;112;40;0.16;0.05;0.21;0.16;0.21;0.08;0.05;0.14;0.08;0.14
Iker Losada;es ESP;FW,MF;Celta Vigo;es La Liga;22;2001;12;4;358;4.0;1;0;1;1;0;0;2;0;1.1;1.1;0.3;1.5;9;17;23;0.25;0.00;0.25;0.25;0.25;0.29;0.09;0.38;0.29;0.38
Iker Losada;es ESP;MF,FW;Betis;es La Liga;22;2001;10;3;336;3.7;0;0;0;0;0;0;0;0;0.5;0.5;0.3;0.8;9;14;16;0.00;0.00;0.00;0.00;0.00;0.13;0.08;0.21;0.13;0.21
Anthony Losilla;fr FRA;MF;Bochum;de Bundesliga;38;1986;21;13;1137;12.6;0;0;0;0;0;0;1;0;0.1;0.1;0.4;0.5;3;45;11;0.00;0.00;0.00;0.00;0.00;0.01;0.03;0.04;0.01;0.04
Jordan Lotomba;ch SUI;MF,DF;Nice;fr Ligue 1;25;1998;2;0;35;0.4;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;4;3;2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Tom Louchet;fr FRA;DF,MF;Nice;fr Ligue 1;21;2003;22;7;775;8.6;1;0;1;1;0;0;1;0;0.8;0.8;1.2;1.9;19;36;37;0.12;0.00;0.12;0.12;0.12;0.09;0.14;0.22;0.09;0.22
Sandi Lovrić;si SVN;MF;Udinese;it Serie A;26;1998;36;31;2308;25.6;2;3;5;2;0;0;5;0;2.6;2.6;3.4;6.0;60;120;71;0.08;0.12;0.19;0.08;0.19;0.10;0.13;0.24;0.10;0.24
Pol Lozano;es ESP;MF;Espanyol;es La Liga;24;1999;30;27;1943;21.6;0;1;1;0;0;0;12;0;0.2;0.2;0.8;1.0;18;115;12;0.00;0.05;0.05;0.00;0.05;0.01;0.04;0.05;0.01;0.05
Lorenzo Lucca;it ITA;FW;Udinese;it Serie A;23;2000;33;27;2353;26.1;12;1;13;11;1;1;10;0;7.6;6.8;1.6;8.4;15;18;98;0.46;0.04;0.50;0.42;0.46;0.29;0.06;0.35;0.26;0.32
Jhon Lucumí;co COL;DF;Bologna;it Serie A;26;1998;32;29;2614;29.0;0;1;1;0;0;0;8;1;0.6;0.6;0.4;1.0;34;108;7;0.00;0.03;0.03;0.00;0.03;0.02;0.01;0.03;0.02;0.03
Yannik Lührs;de GER;DF;Dortmund;de Bundesliga;20;2003;3;1;127;1.4;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;2;1;1;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.03;0.00;0.03
José Luis Gayà;es ESP;DF;Valencia;es La Liga;29;1995;23;22;1803;20.0;0;1;1;0;0;0;7;0;1.0;1.0;2.6;3.6;29;59;156;0.00;0.05;0.05;0.00;0.05;0.05;0.13;0.18;0.05;0.18
José Luis Palomino;ar ARG;DF;Cagliari;it Serie A;34;1990;18;10;1081;12.0;1;0;1;1;0;0;3;0;0.5;0.5;0.0;0.5;4;35;1;0.08;0.00;0.08;0.08;0.08;0.04;0.00;0.04;0.04;0.04
Douglas Luiz;br BRA;MF;Juventus;it Serie A;26;1998;19;3;529;5.9;0;0;0;0;0;0;2;0;0.6;0.6;1.0;1.6;16;35;12;0.00;0.00;0.00;0.00;0.00;0.11;0.16;0.27;0.11;0.27
Romelu Lukaku;be BEL;FW;Napoli;it Serie A;31;1993;36;35;2843;31.6;14;10;24;11;3;4;4;0;13.0;9.8;4.0;13.8;31;36;219;0.44;0.32;0.76;0.35;0.66;0.41;0.13;0.54;0.31;0.44
Castello Lukeba;fr FRA;DF;RB Leipzig;de Bundesliga;21;2002;23;18;1577;17.5;0;0;0;0;0;0;2;0;0.4;0.4;0.2;0.6;18;80;23;0.00;0.00;0.00;0.00;0.00;0.02;0.01;0.04;0.02;0.04
Dodi Lukebakio;be BEL;FW;Sevilla;es La Liga;26;1997;38;36;3092;34.4;11;2;13;10;1;1;3;1;10.1;9.3;4.5;13.8;131;93;247;0.32;0.06;0.38;0.29;0.35;0.29;0.13;0.42;0.27;0.40
Saša Lukić;rs SRB;MF;Fulham;eng Premier League;27;1996;30;28;2344;26.0;0;2;2;0;0;0;12;0;1.2;1.2;2.7;3.9;39;98;33;0.00;0.08;0.08;0.00;0.08;0.04;0.11;0.15;0.04;0.15
Milos Lukovic;rs SRB;FW,MF;Strasbourg;fr Ligue 1;18;2005;2;0;12;0.1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Joe Lumley;eng ENG;GK;Southampton;eng Premier League;29;1995;3;3;270;3.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Daniel Luna;co COL;MF;Mallorca;es La Liga;21;2003;2;0;20;0.2;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;1;0;2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Andriy Lunin;ua UKR;GK;Real Madrid;es La Liga;25;1999;7;7;630;7.0;0;1;1;0;0;0;0;0;0.0;0.0;0.9;0.9;0;0;0;0.00;0.14;0.14;0.00;0.14;0.00;0.13;0.13;0.00;0.13
Massimo Luongo;au AUS;MF;Ipswich Town;eng Premier League;31;1992;11;2;201;2.2;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;6;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Sebastiano Luperto;it ITA;DF;Cagliari;it Serie A;27;1996;36;36;3240;36.0;1;3;4;1;0;0;4;0;2.2;2.2;1.3;3.4;22;96;11;0.03;0.08;0.11;0.03;0.11;0.06;0.04;0.10;0.06;0.10
Zito Luvumbo;ao ANG;FW,MF;Cagliari;it Serie A;22;2002;26;19;1606;17.8;2;2;4;2;0;0;2;0;2.1;2.1;3.1;5.2;70;31;125;0.11;0.11;0.22;0.11;0.22;0.12;0.17;0.29;0.12;0.29
Charalambos Lykogiannis;gr GRE;DF;Bologna;it Serie A;30;1993;17;12;1048;11.6;0;4;4;0;0;0;3;0;0.2;0.2;1.6;1.8;10;49;36;0.00;0.34;0.34;0.00;0.34;0.02;0.14;0.16;0.02;0.16
Senne Lynen;be BEL;MF;Werder Bremen;de Bundesliga;25;1999;32;32;2733;30.4;0;1;1;0;0;0;9;0;1.1;1.1;0.6;1.7;9;91;28;0.00;0.03;0.03;0.00;0.03;0.04;0.02;0.06;0.04;0.06
Mathias Løvik;no NOR;DF,FW;Parma;it Serie A;20;2003;6;0;92;1.0;0;0;0;0;0;0;0;0;0.1;0.1;0.1;0.2;0;1;6;0.00;0.00;0.00;0.00;0.00;0.09;0.08;0.18;0.09;0.18
Othmane Maamma;ma MAR;FW,MF;Montpellier;fr Ligue 1;18;2005;12;2;361;4.0;1;1;2;1;0;0;1;0;0.7;0.7;0.2;0.9;8;2;24;0.25;0.25;0.50;0.25;0.50;0.23;0.06;0.29;0.23;0.29
Ian Maatsen;nl NED;DF;Aston Villa;eng Premier League;22;2002;29;10;1139;12.7;1;2;3;1;0;0;2;0;0.9;0.9;2.7;3.6;31;50;104;0.08;0.16;0.24;0.08;0.24;0.07;0.22;0.28;0.07;0.28
Alexis Mac Allister;ar ARG;MF;Liverpool;eng Premier League;25;1998;35;30;2599;28.9;5;5;10;5;0;0;6;0;2.8;2.8;4.7;7.5;36;177;80;0.17;0.17;0.35;0.17;0.35;0.10;0.16;0.26;0.10;0.26
Deiver Machado;co COL;DF,MF;Lens;fr Ligue 1;30;1993;27;20;1805;20.1;1;4;5;1;0;0;7;2;2.3;2.3;2.1;4.3;42;45;80;0.05;0.20;0.25;0.05;0.25;0.11;0.10;0.22;0.11;0.22
Lanroy Machine;fr FRA;FW;Angers;fr Ligue 1;18;2005;2;0;8;0.1;0;0;0;0;0;0;0;0;0.1;0.1;0.0;0.1;0;0;1;0.00;0.00;0.00;0.00;0.00;0.62;0.00;0.62;0.62;0.62
Shuto Machino;jp JPN;FW,MF;Holstein Kiel;de Bundesliga;24;1999;32;23;1953;21.7;11;2;13;9;2;2;2;0;6.5;4.9;3.0;7.9;30;59;108;0.51;0.09;0.60;0.41;0.51;0.30;0.14;0.44;0.23;0.36
Darwin Machís;ve VEN;MF,FW;Valladolid;es La Liga;31;1993;18;7;639;7.1;0;1;1;0;0;0;0;0;0.9;0.9;0.5;1.4;17;19;43;0.00;0.14;0.14;0.00;0.14;0.12;0.07;0.20;0.12;0.20
Yvann Macon;fr FRA;DF;Saint-Étienne;fr Ligue 1;25;1998;12;10;790;8.8;0;0;0;0;0;0;4;0;0.3;0.3;0.2;0.5;25;46;40;0.00;0.00;0.00;0.00;0.00;0.04;0.03;0.07;0.04;0.07
James Maddison;eng ENG;MF;Tottenham;eng Premier League;27;1996;31;21;1809;20.1;9;7;16;9;0;0;6;0;5.8;5.8;4.2;10.0;45;164;95;0.45;0.35;0.80;0.45;0.80;0.29;0.21;0.50;0.29;0.50
Eros Maddy;nl NED;DF;Auxerre;fr Ligue 1;23;2001;2;0;15;0.2;0;0;0;0;0;0;1;0;0.0;0.0;0.1;0.1;1;1;4;0.00;0.00;0.00;0.00;0.00;0.00;0.52;0.52;0.00;0.52
Noni Madueke;eng ENG;FW;Chelsea;eng Premier League;22;2002;32;27;2033;22.6;7;3;10;7;0;0;3;0;9.6;9.6;4.2;13.9;154;69;226;0.31;0.13;0.44;0.31;0.44;0.43;0.19;0.61;0.43;0.61
Pablo Maffeo;es ESP;DF;Mallorca;es La Liga;27;1997;30;28;2368;26.3;0;2;2;0;0;0;7;0;0.3;0.3;4.1;4.4;46;74;122;0.00;0.08;0.08;0.00;0.08;0.01;0.16;0.17;0.01;0.17
Gabriel Magalhães;br BRA;DF;Arsenal;eng Premier League;26;1997;28;28;2363;26.3;3;1;4;3;0;0;4;0;2.6;2.6;0.9;3.5;10;126;11;0.11;0.04;0.15;0.11;0.15;0.10;0.03;0.13;0.10;0.13
Soungoutou Magassa;fr FRA;MF;Monaco;fr Ligue 1;20;2003;21;12;1025;11.4;0;1;1;0;0;0;5;1;0.5;0.5;0.9;1.4;6;63;11;0.00;0.09;0.09;0.00;0.09;0.04;0.08;0.12;0.04;0.12
Edmond-Paris Maghoma;eng ENG;MF,FW;Brentford;eng Premier League;23;2001;8;0;119;1.3;0;0;0;0;0;0;0;0;0.1;0.1;0.1;0.2;4;13;4;0.00;0.00;0.00;0.00;0.00;0.09;0.08;0.17;0.09;0.17
Giangiacomo Magnani;it ITA;DF;Hellas Verona;it Serie A;28;1995;17;11;1065;11.8;1;0;1;1;0;0;2;0;1.1;1.1;0.0;1.2;4;31;7;0.08;0.00;0.08;0.08;0.08;0.10;0.00;0.10;0.10;0.10
Hugo Magnetti;fr FRA;MF;Brest;fr Ligue 1;26;1998;32;27;2323;25.8;1;0;1;1;0;0;5;0;0.8;0.8;0.4;1.2;21;80;20;0.04;0.00;0.04;0.04;0.04;0.03;0.02;0.05;0.03;0.05
Frank Magri;cm CMR;FW,MF;Toulouse;fr Ligue 1;24;1999;31;17;1516;16.8;5;1;6;5;0;0;5;1;6.0;6.0;1.5;7.5;17;25;80;0.30;0.06;0.36;0.30;0.36;0.36;0.09;0.45;0.36;0.45
Harry Maguire;eng ENG;DF;Manchester Utd;eng Premier League;31;1993;27;19;1758;19.5;1;0;1;1;0;0;7;0;1.8;1.8;0.6;2.4;7;51;7;0.05;0.00;0.05;0.05;0.05;0.09;0.03;0.12;0.09;0.12
Jon Magunazelaia;es ESP;MF;Real Sociedad;es La Liga;23;2001;2;0;7;0.1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Arne Maier;de GER;MF;Augsburg;de Bundesliga;25;1999;28;7;938;10.4;0;0;0;0;0;0;0;1;1.5;1.5;1.5;3.0;19;44;56;0.00;0.00;0.00;0.00;0.00;0.15;0.14;0.29;0.15;0.29
Mike Maignan;fr FRA;GK;Milan;it Serie A;29;1995;37;37;3294;36.6;0;0;0;0;0;0;1;0;0.0;0.0;0.8;0.8;0;4;0;0.00;0.00;0.00;0.00;0.00;0.00;0.02;0.02;0.00;0.02
Patrick Mainka;de GER;DF;Heidenheim;de Bundesliga;29;1994;34;34;3060;34.0;1;1;2;1;0;0;3;0;1.9;1.9;0.3;2.3;21;102;12;0.03;0.03;0.06;0.03;0.06;0.06;0.01;0.07;0.06;0.07
Kobbie Mainoo;eng ENG;MF;Manchester Utd;eng Premier League;19;2005;25;19;1651;18.3;0;0;0;0;0;0;5;0;0.7;0.7;1.6;2.3;22;65;47;0.00;0.00;0.00;0.00;0.00;0.04;0.09;0.12;0.04;0.12
Ainsley Maitland-Niles;eng ENG;DF;Lyon;fr Ligue 1;26;1997;32;20;1985;22.1;1;4;5;1;0;0;1;0;2.9;2.9;3.4;6.4;33;102;110;0.05;0.18;0.23;0.05;0.23;0.13;0.16;0.29;0.13;0.29
